year,real,nominal
1973,26.738333333333333,3.8725
1974,64.59333333333333,10.3725
1975,63.699999999999996,11.160000000000002
1976,68.1775,12.645000000000001
1977,72.41583333333334,14.295833333333334
1978,69.94583333333334,14.85
1979,93.96166666666666,22.40416666666667
1980,139.35083333333333,37.375
1981,123.99916666666667,36.666666666666664
1982,106.99583333333334,33.63583333333333
1983,93.73916666666666,30.403333333333332
1984,86.47666666666667,29.24083333333333
1985,79.55583333333333,27.873333333333335
1986,40.358333333333334,14.413333333333334
1987,51.443333333333335,19.036666666666665
1988,41.5125,15.974166666666667
1989,48.464166666666664,19.573333333333334
1990,58.0825,24.795833333333334
1991,47.55083333333334,21.093333333333334
1992,44.97,20.554166666666667
1993,39.37916666666667,18.515
1994,36.11333333333334,17.440833333333334
1995,37.11666666666667,18.419166666666666
1996,42.49916666666667,21.724999999999998
1997,38.994166666666665,20.379166666666666
1998,27.389166666666668,14.534166666666666
1999,36.14,19.638333333333332
2000,53.025,29.74416666666667
2001,43.781666666666666,25.238333333333333
2002,45.31166666666667,26.5625
2003,51.48083333333333,30.837500000000002
2004,67.55416666666666,41.598333333333336
2005,89.98333333333333,57.284166666666664
2006,101.97500000000001,66.96166666666666
2007,110.84250000000002,74.94416666666667
2008,140.2075,98.58333333333333
2009,91.35666666666667,63.92333333333334
2010,112.61500000000001,79.985
2011,132.42666666666665,97.00166666666667
2012,125.82,94.05166666666666
2013,128.635,97.6075
2014,118.28833333333334,91.2275
2015,63.87166666666667,49.307500000000005
2016,56.84166666666667,44.468333333333334
2017,64.95916666666666,51.865
2018,78.915,64.54416666666667
2019,68.59083333333334,57.09916666666667
2020,45.76083333333333,38.59583333333334
2021,77.17833333333333,68.2225
2022,98.39999999999999,93.70258333333334
2023,77.91250000000001,77.33166666666666
2046,21.293333333333333,1.3575
2047,25.291666666666668,1.8408333333333333
2048,32.83083333333334,2.57
2049,33.14833333333333,2.57
2050,32.803333333333335,2.57
2051,30.405,2.57
2052,29.724999999999998,2.57
2053,31.150000000000002,2.715833333333333
2054,32.25,2.82
2055,32.339999999999996,2.82
2056,31.8575,2.82
2057,33.26583333333333,3.043333333333333
2058,32.54333333333333,3.058333333333333
2059,31.340833333333332,2.975
2060,30.83583333333333,2.97
2061,30.508333333333336,2.97
2062,30.150000000000002,2.97
2063,29.78,2.97
2064,29.155,2.9450000000000003
2065,28.455833333333334,2.92
2066,27.78333333333333,2.936666666666667
2067,27.86,3.026666666666667
2068,27.104166666666668,3.07
2069,27.576666666666668,3.295
2070,26.50583333333333,3.3508333333333336
2071,26.998333333333335,3.56
2072,26.143333333333334,3.56
